id,bank,category,person,format,difficulty,question,tags
P0038,prophets,Prophets,Yaqub,short_answer,2,"What major trial or challenge is associated with Prophet Yaqub, and what does it teach? Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0039,prophets,Prophets,Yaqub,multiple_choice,5,"Which ethical principle is highlighted in the narrative of Prophet Yaqub (for example patience, gratitude, justice)? Include a warning about a common misconception.","['prophets', 'quran', 'character', 'reflection']"
P0040,prophets,Prophets,Yaqub,short_answer,5,"Name one key community, setting, or historical context linked to Prophet Yaqub's mission and explain why it matters. Keep it beginner-friendly.","['prophets', 'quran', 'character', 'reflection']"
P0041,prophets,Prophets,Yusuf,multiple_choice,4,What core lesson about faith or character do you take from the story of Prophet Yusuf? Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['prophets', 'quran', 'character', 'reflection']"
P0042,prophets,Prophets,Yusuf,free_response,2,"What major trial or challenge is associated with Prophet Yusuf, and what does it teach? Include a warning about a common misconception.","['prophets', 'quran', 'character', 'reflection']"
P0043,prophets,Prophets,Yusuf,short_answer,1,"Which ethical principle is highlighted in the narrative of Prophet Yusuf (for example patience, gratitude, justice)? Answer in 1-2 sentences.","['prophets', 'quran', 'character', 'reflection']"
P0044,prophets,Prophets,Yusuf,free_response,2,"Name one key community, setting, or historical context linked to Prophet Yusuf's mission and explain why it matters. Answer in 4-6 sentences.","['prophets', 'quran', 'character', 'reflection']"
P0045,prophets,Prophets,Shuayb,multiple_choice,4,What core lesson about faith or character do you take from the story of Prophet Shuayb? Explain your reasoning step-by-step.,"['prophets', 'quran', 'character', 'reflection']"
P0046,prophets,Prophets,Shuayb,free_response,4,"What major trial or challenge is associated with Prophet Shuayb, and what does it teach? Keep it beginner-friendly.","['prophets', 'quran', 'character', 'reflection']"
P0047,prophets,Prophets,Shuayb,multiple_choice,4,"Which ethical principle is highlighted in the narrative of Prophet Shuayb (for example patience, gratitude, justice)? Include a warning about a common misconception.","['prophets', 'quran', 'character', 'reflection']"
P0048,prophets,Prophets,Shuayb,short_answer,5,"Name one key community, setting, or historical context linked to Prophet Shuayb's mission and explain why it matters. Answer in 1-2 sentences.","['prophets', 'quran', 'character', 'reflection']"
P0049,prophets,Prophets,Ayyub,multiple_choice,1,What core lesson about faith or character do you take from the story of Prophet Ayyub? Include a warning about a common misconception.,"['prophets', 'quran', 'character', 'reflection']"
P0050,prophets,Prophets,Ayyub,short_answer,3,"What major trial or challenge is associated with Prophet Ayyub, and what does it teach? Answer in 3 bullet points.","['prophets', 'quran', 'character', 'reflection']"
P0051,prophets,Prophets,Ayyub,short_answer,4,"Which ethical principle is highlighted in the narrative of Prophet Ayyub (for example patience, gratitude, justice)? Answer in 4-6 sentences.","['prophets', 'quran', 'character', 'reflection']"
P0052,prophets,Prophets,Ayyub,short_answer,1,"Name one key community, setting, or historical context linked to Prophet Ayyub's mission and explain why it matters. Give 1 example and 1 counterexample.","['prophets', 'quran', 'character', 'reflection']"
P0053,prophets,Prophets,Dhul-Kifl,multiple_choice,2,What core lesson about faith or character do you take from the story of Prophet Dhul-Kifl? Include a warning about a common misconception.,"['prophets', 'quran', 'character', 'reflection']"
P0054,prophets,Prophets,Dhul-Kifl,free_response,3,"What major trial or challenge is associated with Prophet Dhul-Kifl, and what does it teach? Include a warning about a common misconception.","['prophets', 'quran', 'character', 'reflection']"
P0055,prophets,Prophets,Dhul-Kifl,multiple_choice,2,"Which ethical principle is highlighted in the narrative of Prophet Dhul-Kifl (for example patience, gratitude, justice)? Answer in 4-6 sentences.","['prophets', 'quran', 'character', 'reflection']"
P0056,prophets,Prophets,Dhul-Kifl,short_answer,2,"Name one key community, setting, or historical context linked to Prophet Dhul-Kifl's mission and explain why it matters. Include a warning about a common misconception.","['prophets', 'quran', 'character', 'reflection']"
P0057,prophets,Prophets,Musa,multiple_choice,1,What core lesson about faith or character do you take from the story of Prophet Musa? Explain your reasoning step-by-step.,"['prophets', 'quran', 'character', 'reflection']"
P0058,prophets,Prophets,Musa,short_answer,4,"What major trial or challenge is associated with Prophet Musa, and what does it teach? Answer in 1-2 sentences.","['prophets', 'quran', 'character', 'reflection']"
P0059,prophets,Prophets,Musa,free_response,3,"Which ethical principle is highlighted in the narrative of Prophet Musa (for example patience, gratitude, justice)? Give 1 example and 1 counterexample.","['prophets', 'quran', 'character', 'reflection']"
P0060,prophets,Prophets,Musa,free_response,1,"Name one key community, setting, or historical context linked to Prophet Musa's mission and explain why it matters. Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0061,prophets,Prophets,Harun,multiple_choice,1,What core lesson about faith or character do you take from the story of Prophet Harun? Answer in 3 bullet points.,"['prophets', 'quran', 'character', 'reflection']"
P0062,prophets,Prophets,Harun,multiple_choice,4,"What major trial or challenge is associated with Prophet Harun, and what does it teach? Answer in 3 bullet points.","['prophets', 'quran', 'character', 'reflection']"
P0063,prophets,Prophets,Harun,multiple_choice,2,"Which ethical principle is highlighted in the narrative of Prophet Harun (for example patience, gratitude, justice)? Answer in 4-6 sentences.","['prophets', 'quran', 'character', 'reflection']"
P0064,prophets,Prophets,Harun,multiple_choice,4,"Name one key community, setting, or historical context linked to Prophet Harun's mission and explain why it matters. Include a warning about a common misconception.","['prophets', 'quran', 'character', 'reflection']"
P0065,prophets,Prophets,Dawud,free_response,3,What core lesson about faith or character do you take from the story of Prophet Dawud? Include a warning about a common misconception.,"['prophets', 'quran', 'character', 'reflection']"
P0066,prophets,Prophets,Dawud,multiple_choice,4,"What major trial or challenge is associated with Prophet Dawud, and what does it teach? Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0067,prophets,Prophets,Dawud,multiple_choice,2,"Which ethical principle is highlighted in the narrative of Prophet Dawud (for example patience, gratitude, justice)? Give 1 example and 1 counterexample.","['prophets', 'quran', 'character', 'reflection']"
P0068,prophets,Prophets,Dawud,short_answer,3,"Name one key community, setting, or historical context linked to Prophet Dawud's mission and explain why it matters. Make it suitable for advanced learners.","['prophets', 'quran', 'character', 'reflection']"
P0069,prophets,Prophets,Sulayman,multiple_choice,4,What core lesson about faith or character do you take from the story of Prophet Sulayman? Answer in 3 bullet points.,"['prophets', 'quran', 'character', 'reflection']"
P0070,prophets,Prophets,Sulayman,free_response,2,"What major trial or challenge is associated with Prophet Sulayman, and what does it teach? Answer in 3 bullet points.","['prophets', 'quran', 'character', 'reflection']"
P0071,prophets,Prophets,Sulayman,short_answer,1,"Which ethical principle is highlighted in the narrative of Prophet Sulayman (for example patience, gratitude, justice)? Explain your reasoning step-by-step.","['prophets', 'quran', 'character', 'reflection']"
P0072,prophets,Prophets,Sulayman,multiple_choice,2,"Name one key community, setting, or historical context linked to Prophet Sulayman's mission and explain why it matters. Explain your reasoning step-by-step.","['prophets', 'quran', 'character', 'reflection']"
P0073,prophets,Prophets,Ilyas,free_response,1,What core lesson about faith or character do you take from the story of Prophet Ilyas? Answer in 3 bullet points.,"['prophets', 'quran', 'character', 'reflection']"
P0074,prophets,Prophets,Ilyas,multiple_choice,1,"What major trial or challenge is associated with Prophet Ilyas, and what does it teach? Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0075,prophets,Prophets,Ilyas,free_response,1,"Which ethical principle is highlighted in the narrative of Prophet Ilyas (for example patience, gratitude, justice)? Include 1 relevant Qur'anic or historical anchor (no need for exact citation).","['prophets', 'quran', 'character', 'reflection']"
P0076,prophets,Prophets,Ilyas,free_response,5,"Name one key community, setting, or historical context linked to Prophet Ilyas's mission and explain why it matters. Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0077,prophets,Prophets,Al-Yasa,short_answer,4,What core lesson about faith or character do you take from the story of Prophet Al-Yasa? Give 2 examples.,"['prophets', 'quran', 'character', 'reflection']"
P0078,prophets,Prophets,Al-Yasa,multiple_choice,2,"What major trial or challenge is associated with Prophet Al-Yasa, and what does it teach? Explain your reasoning step-by-step.","['prophets', 'quran', 'character', 'reflection']"
P0079,prophets,Prophets,Al-Yasa,multiple_choice,4,"Which ethical principle is highlighted in the narrative of Prophet Al-Yasa (for example patience, gratitude, justice)? Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0080,prophets,Prophets,Al-Yasa,short_answer,4,"Name one key community, setting, or historical context linked to Prophet Al-Yasa's mission and explain why it matters. Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0081,prophets,Prophets,Yunus,free_response,1,What core lesson about faith or character do you take from the story of Prophet Yunus? Keep it beginner-friendly.,"['prophets', 'quran', 'character', 'reflection']"
P0082,prophets,Prophets,Yunus,short_answer,4,"What major trial or challenge is associated with Prophet Yunus, and what does it teach? Keep it beginner-friendly.","['prophets', 'quran', 'character', 'reflection']"
P0083,prophets,Prophets,Yunus,short_answer,1,"Which ethical principle is highlighted in the narrative of Prophet Yunus (for example patience, gratitude, justice)? Answer in 3 bullet points.","['prophets', 'quran', 'character', 'reflection']"
P0084,prophets,Prophets,Yunus,free_response,4,"Name one key community, setting, or historical context linked to Prophet Yunus's mission and explain why it matters. Include 1 relevant Qur'anic or historical anchor (no need for exact citation).","['prophets', 'quran', 'character', 'reflection']"
P0085,prophets,Prophets,Zakariya,free_response,2,What core lesson about faith or character do you take from the story of Prophet Zakariya? Give 2 examples.,"['prophets', 'quran', 'character', 'reflection']"
P0086,prophets,Prophets,Zakariya,free_response,5,"What major trial or challenge is associated with Prophet Zakariya, and what does it teach? Make it suitable for advanced learners.","['prophets', 'quran', 'character', 'reflection']"
P0087,prophets,Prophets,Zakariya,free_response,4,"Which ethical principle is highlighted in the narrative of Prophet Zakariya (for example patience, gratitude, justice)? Answer in 4-6 sentences.","['prophets', 'quran', 'character', 'reflection']"
P0088,prophets,Prophets,Zakariya,short_answer,4,"Name one key community, setting, or historical context linked to Prophet Zakariya's mission and explain why it matters. Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0089,prophets,Prophets,Yahya,free_response,4,What core lesson about faith or character do you take from the story of Prophet Yahya? Include a warning about a common misconception.,"['prophets', 'quran', 'character', 'reflection']"
P0090,prophets,Prophets,Yahya,free_response,1,"What major trial or challenge is associated with Prophet Yahya, and what does it teach? Include a warning about a common misconception.","['prophets', 'quran', 'character', 'reflection']"
P0091,prophets,Prophets,Yahya,free_response,1,"Which ethical principle is highlighted in the narrative of Prophet Yahya (for example patience, gratitude, justice)? Give 2 examples.","['prophets', 'quran', 'character', 'reflection']"
P0092,prophets,Prophets,Yahya,free_response,4,"Name one key community, setting, or historical context linked to Prophet Yahya's mission and explain why it matters. Make it suitable for advanced learners.","['prophets', 'quran', 'character', 'reflection']"
P0093,prophets,Prophets,Isa,short_answer,2,What core lesson about faith or character do you take from the story of Prophet Isa? Keep it beginner-friendly.,"['prophets', 'quran', 'character', 'reflection']"
P0094,prophets,Prophets,Isa,free_response,2,"What major trial or challenge is associated with Prophet Isa, and what does it teach? Keep it beginner-friendly.","['prophets', 'quran', 'character', 'reflection']"
P0095,prophets,Prophets,Isa,free_response,4,"Which ethical principle is highlighted in the narrative of Prophet Isa (for example patience, gratitude, justice)? Give 1 example and 1 counterexample.","['prophets', 'quran', 'character', 'reflection']"
P0096,prophets,Prophets,Isa,short_answer,3,"Name one key community, setting, or historical context linked to Prophet Isa's mission and explain why it matters. Keep it beginner-friendly.","['prophets', 'quran', 'character', 'reflection']"
P0097,prophets,Prophets,Muhammad,multiple_choice,5,What core lesson about faith or character do you take from the story of Prophet Muhammad? Make it suitable for advanced learners.,"['prophets', 'quran', 'character', 'reflection']"
P0098,prophets,Prophets,Muhammad,free_response,2,"What major trial or challenge is associated with Prophet Muhammad, and what does it teach? Give 1 example and 1 counterexample.","['prophets', 'quran', 'character', 'reflection']"
P0099,prophets,Prophets,Muhammad,free_response,1,"Which ethical principle is highlighted in the narrative of Prophet Muhammad (for example patience, gratitude, justice)? Explain your reasoning step-by-step.","['prophets', 'quran', 'character', 'reflection']"
P0100,prophets,Prophets,Muhammad,multiple_choice,5,"Name one key community, setting, or historical context linked to Prophet Muhammad's mission and explain why it matters. Answer in 1-2 sentences.","['prophets', 'quran', 'character', 'reflection']"
C0001,companions,Companions (Sahaba),,scenario,2,Write a reflection prompt connecting environmental stewardship and avoiding waste to sincerity (ikhlas). Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0002,companions,Companions (Sahaba),,free_response,2,Design a classroom activity to teach the pledge(s) of al-'Aqabah and community commitments. Make it ethical. Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0003,companions,Companions (Sahaba),,scenario,1,"Explain how isnad protects against misinformation, using adab (ethics) in disagreement among believers as the example context. Answer in 1-2 sentences.","['sahaba', 'early_islam', 'hadith', 'history']"
C0004,companions,Companions (Sahaba),,short_answer,3,"Turn truthfulness and trust (amana) in public life into a 2-step reasoning question (Step 1 identify, Step 2 justify). Give 1 example and 1 counterexample.","['sahaba', 'early_islam', 'hadith', 'history']"
C0005,companions,Companions (Sahaba),,multiple_choice,1,What is one misconception about memorization culture and oral transmission? Write a 'spot the error' prompt to correct it. Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0006,companions,Companions (Sahaba),,short_answer,5,Design a classroom activity to teach the definition of a Companion (Sahabi) in hadith terminology. Make it evidence-based. Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0007,companions,Companions (Sahaba),,multiple_choice,2,Compare messengers vs Ansar in how each contributed to leadership after the Prophet and decision-making. Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['sahaba', 'early_islam', 'hadith', 'history']"
C0008,companions,Companions (Sahaba),,free_response,5,"Explain how isnad protects against misinformation, using conflict resolution and reconciliation as the example context. Include a warning about a common misconception.","['sahaba', 'early_islam', 'hadith', 'history']"
C0009,companions,Companions (Sahaba),,free_response,5,"If a social media post claims something about women Companions and their contributions, how would you respond without being combative? Answer in 3 bullet points.","['sahaba', 'early_islam', 'hadith', 'history']"
C0010,companions,Companions (Sahaba),,multiple_choice,5,"Turn the Farewell Pilgrimage and community ethics into a 2-step reasoning question (Step 1 identify, Step 2 justify). Give 2 examples.","['sahaba', 'early_islam', 'hadith', 'history']"
C0011,companions,Companions (Sahaba),,free_response,1,Make a short-answer quiz item about interfaith interactions and treaties for beginners. Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0012,companions,Companions (Sahaba),,scenario,4,Create a short scenario about the People of the Bench (Ahl al-Suffah) and learning and ask learners what the best response is. Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0013,companions,Companions (Sahaba),,free_response,3,Write a true/false prompt about fitnah and how early Muslims navigated trials (do not provide the answer). Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0014,companions,Companions (Sahaba),,multiple_choice,1,What questions would you ask to verify a claim about family life and raising children in Medina? Use a spiritual lens. Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0015,companions,Companions (Sahaba),,scenario,4,Write a multiple-choice question about how the Companions practiced gratitude in hardship (do not provide the answer). Include 1 relevant Qur'anic or historical anchor (no need for exact citation).,"['sahaba', 'early_islam', 'hadith', 'history']"
C0016,companions,Companions (Sahaba),,true_false,1,Create a short scenario about patience under persecution in Mecca and ask learners what the best response is. Answer in 4-6 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0017,companions,Companions (Sahaba),,short_answer,1,Compare students of knowledge vs teachers in how each contributed to preservation and transmission of hadith. Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0018,companions,Companions (Sahaba),,true_false,3,Compare poets vs caregivers in how each contributed to brotherhood between Muhajirun and Ansar. Give 2 examples.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0019,companions,Companions (Sahaba),,multiple_choice,3,List 3 virtues the Companions modeled in women Companions and their contributions. Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0020,companions,Companions (Sahaba),,scenario,3,Write a reflection prompt connecting how the Companions approached non-Muslim neighbors to patience (sabr). Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0021,companions,Companions (Sahaba),,free_response,5,"If a social media post claims something about who can be counted among the Companions and why definitions matter, how would you respond without being combative? Answer in 1-2 sentences.","['sahaba', 'early_islam', 'hadith', 'history']"
C0022,companions,Companions (Sahaba),,true_false,5,"Write a reflection prompt connecting migration, sacrifice, and prioritizing values to patience (sabr). Answer in 3 bullet points.","['sahaba', 'early_islam', 'hadith', 'history']"
C0023,companions,Companions (Sahaba),,scenario,2,Summarize isnad and why chains of narration matter from a historical angle. Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0024,companions,Companions (Sahaba),,free_response,3,"Explain how isnad protects against misinformation, using community building in Medina as the example context. Include 1 relevant Qur'anic or historical anchor (no need for exact citation).","['sahaba', 'early_islam', 'hadith', 'history']"
C0025,companions,Companions (Sahaba),,short_answer,2,What is one misconception about prophetic companionship and mentorship? Write a 'spot the error' prompt to correct it. Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0026,companions,Companions (Sahaba),,scenario,3,Create a short scenario about truthfulness and trust (amana) in public life and ask learners what the best response is. Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0027,companions,Companions (Sahaba),,scenario,5,List 3 virtues the Companions modeled in adab (ethics) in disagreement among believers. Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0028,companions,Companions (Sahaba),,true_false,2,List 3 virtues the Companions modeled in courage balanced with restraint. Include a warning about a common misconception.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0029,companions,Companions (Sahaba),,free_response,2,"Explain how isnad protects against misinformation, using how Companions handled mistakes and repentance as the example context. Include 1 relevant Qur'anic or historical anchor (no need for exact citation).","['sahaba', 'early_islam', 'hadith', 'history']"
C0030,companions,Companions (Sahaba),,free_response,2,Write a true/false prompt about respecting privacy and avoiding suspicion (do not provide the answer). Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0031,companions,Companions (Sahaba),,true_false,4,How does da'wah methods used by early Muslims relate to the reliability of hadith transmission? Give 2 examples.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0032,companions,Companions (Sahaba),,true_false,2,Analyze adab (ethics) in disagreement among believers from a spiritual angle. Answer in 3 bullet points.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0033,companions,Companions (Sahaba),,free_response,4,Write a reflection prompt connecting preservation and transmission of hadith to trust (tawakkul). Give 2 examples.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0034,companions,Companions (Sahaba),,multiple_choice,4,Write a reflection prompt connecting the Conquest of Mecca and forgiveness to trust (tawakkul). Explain your reasoning step-by-step.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0035,companions,Companions (Sahaba),,short_answer,4,Write a reflection prompt connecting patience under persecution in Mecca to trust (tawakkul). Make it suitable for advanced learners.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0036,companions,Companions (Sahaba),,true_false,2,"If a social media post claims something about conflict resolution and reconciliation, how would you respond without being combative? Include a warning about a common misconception.","['sahaba', 'early_islam', 'hadith', 'history']"
C0037,companions,Companions (Sahaba),,multiple_choice,3,Compare judges vs hadith narrators in how each contributed to consultation (shura) among Companions. Give 1 example and 1 counterexample.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0038,companions,Companions (Sahaba),,short_answer,2,Compare Badriyyun vs messengers in how each contributed to how the Companions practiced gratitude in hardship. Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0039,companions,Companions (Sahaba),,free_response,2,Make a short-answer quiz item about the Battle of Badr and its significance for advanced learners. Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0040,companions,Companions (Sahaba),,scenario,4,How does how the Companions balanced worship and work relate to the reliability of hadith transmission? Answer in 1-2 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0041,companions,Companions (Sahaba),,scenario,5,What would leadership success look like if your community applied lessons from da'wah methods used by early Muslims this month? Keep it beginner-friendly.,"['sahaba', 'early_islam', 'hadith', 'history']"
C0042,companions,Companions (Sahaba),,true_false,1,"If a social media post claims something about what makes a narration reliable vs weak, how would you respond without being combative? Keep it beginner-friendly.","['sahaba', 'early_islam', 'hadith', 'history']"
C0043,companions,Companions (Sahaba),,scenario,5,Make a short-answer quiz item about brotherhood between Muhajirun and Ansar for advanced learners. Answer in 4-6 sentences.,"['sahaba', 'early_islam', 'hadith', 'history']"
